Name,Age,Gender,Python,Math,Science,Attendance,City
Ved,21,Male,85.0,90.0,88.0,92.0,Nagpur
Rahul,22,Male,72.0,68.0,75.0,85.0,Pune
Priya,21,Female,95.0,92.0,96.0,98.0,Mumbai
Aman,23,Male,65.0,86.0,60.0,78.0,Nagpur
Neha,21,Female,80.0,85.0,82.0,90.0,Pune
Riya,22,Female,88.0,91.0,89.0,95.0,Mumbai
Arjun,23,Male,55.0,62.0,58.0,70.0,Nagpur
Sneha,21,Female,92.0,89.0,94.0,97.0,Pune
Karan,22,Male,76.0,74.0,80.0,88.0,Mumbai
Anjali,21,Female,84.0,87.0,85.0,93.0,Nagpur
Rohit,23,Male,68.0,72.0,65.0,75.0,Pune
Isha,22,Female,91.0,95.0,90.0,96.0,Mumbai
Aman,23,Male,65.0,70.0,60.0,78.0,Nagpur
